,beta1,beta2,lr,num_epochs,weight_decay,arm_name,metric_name,mean,sem,trial_index
48,0.5685239673035218,0.9832629899949024,0.05640326801684157,7.0,0.0,1_3,online,0.10983333333333334,0.0,1
49,0.45686997382862254,0.5889696574162612,0.03207977761028166,12.0,3.4282968021523156e-18,1_4,online,0.9505,0.0,1
50,0.3488261063379508,0.6641546054447113,0.006348785960503074,11.0,0.03325771927116352,2_0,online,0.9788333333333333,0.0,2
51,0.2825424161882249,0.9874220968128613,0.00277438771392689,8.0,0.04568413492779628,2_1,online,0.9763333333333334,0.0,2
52,0.4476294868620944,0.2057307411887819,0.006572293717140996,11.0,0.177021534304469,2_2,online,0.9783333333333334,0.0,2
53,0.4720639930744252,0.35652103208231756,0.0010436822217054504,4.0,0.16155239039204342,2_3,online,0.9566666666666667,0.0,2
54,0.27503332005782116,0.8980474390989392,0.010134842355249432,15.0,0.0,2_4,online,0.9795,0.0,2
55,0.2104431102220803,0.8188292555512385,0.02184839656955297,9.0,0.0,3_0,online,0.9731666666666666,0.0,3
56,0.6267020699946556,0.36445228181828615,0.00031716033094735343,12.0,0.24558950150742775,3_1,online,0.9603333333333334,0.0,3
57,0.463013237400144,0.24383203066943593,0.008469280653613282,15.0,0.008022989643983338,3_2,online,0.9776666666666667,0.0,3
58,0.32057063144916936,0.581111453412959,0.0032287729912699806,9.0,0.24826242695595732,3_3,online,0.9785,0.0,3
59,0.6138826099129158,0.0,0.045198910069478064,8.0,0.20586480969636486,3_4,online,0.1015,0.0,3
60,0.9414739535450936,0.17178028048574925,0.0013809131715524234,11.0,0.2760147571563721,0_0,online,0.9753333333333334,0.0,0
61,0.029718894174322486,0.36976514223217966,0.0005315954542060014,14.0,0.004627409297972917,0_1,online,0.9638333333333333,0.0,0
62,0.6442347595095634,0.8866017699837685,0.008771652910311243,6.0,0.17662807703018188,0_2,online,0.9766666666666667,0.0,0
63,0.18416240362823008,0.02004197105392814,0.005707009977236242,13.0,0.07927536964416504,0_3,online,0.9783333333333334,0.0,0
64,0.5530671349167824,0.7212261986732483,0.0001449906927597125,5.0,0.2518791139125824,0_4,online,0.8298333333333333,0.0,0
65,0.6741973788473423,0.6549896820508917,0.031531585787327274,9.0,0.14881993049758258,1_0,online,0.9648333333333333,0.0,1
66,0.585752254258643,0.0,0.0029484350726665426,13.0,0.17428731639794415,1_1,online,0.1015,0.0,1
67,2.3299645201958077e-17,0.10846203144931554,0.013349247399920184,15.0,3.0953574210461226e-18,1_2,online,0.9678333333333333,0.0,1
68,0.6840220882081093,0.999,0.03512051579894351,2.0,0.16191579836734832,1_3,online,0.8613333333333333,0.0,1
69,0.0,0.0,0.0017855868490670214,8.0,0.060061301113670376,1_4,online,0.9701666666666666,0.0,1
70,0.6469242100721699,0.8301079796702447,0.003930950123399278,8.0,0.19110201686519993,2_0,online,0.9793333333333333,0.0,2
71,0.0009083880979336987,0.11100140257848153,0.0029394062996226534,12.0,0.03682109074149225,2_1,online,0.9756666666666667,0.0,2
72,0.999,0.4599435664510053,0.0021637378417331864,8.0,0.2864112010913097,2_2,online,0.9158333333333334,0.0,2
73,0.18402051305334616,0.41106626198421947,0.011999189977550504,13.0,0.016215796966386736,2_3,online,0.9753333333333334,0.0,2
74,1.0625277781991949e-16,5.280317295110294e-16,0.0008640226650834682,15.0,0.06568609768611423,2_4,online,0.9693333333333334,0.0,2
75,0.13428928229979942,0.08096106432223572,0.00142822649287871,12.0,7.356582842982027e-19,3_0,online,0.9758333333333333,0.0,3
76,0.07271788325486875,0.26746655432272765,0.0111730267078652,14.0,0.11584865442222571,3_1,online,0.9713333333333334,0.0,3
77,0.6809008254406685,0.989284759009192,0.03433892146889054,14.0,0.1381557441633829,3_2,online,0.958,0.0,3
78,0.13680580749788884,0.10345041544902164,0.1,6.0,0.007871015084283112,3_3,online,0.099,0.0,3
79,0.999,5.792987402592985e-18,0.0001,6.0,0.3,3_4,online,0.16266666666666665,0.0,3
80,0.7949735645055771,0.7156194972395897,0.000266304223570497,2.0,0.009426777809858322,0_0,online,0.8055,0.0,0
81,0.05419930227845907,0.9777813631296158,0.002262471640740567,8.0,0.27932986021041867,0_1,online,0.9745,0.0,0
82,0.6705776043534278,0.4950563918352127,0.07924246336835765,11.0,0.09617213308811187,0_2,online,0.8068333333333333,0.0,0
83,0.22476851852238178,0.6065828229188919,0.03767943678570995,6.0,0.16530110836029052,0_3,online,0.9543333333333334,0.0,0
84,0.6230995452404022,0.12189812759310006,0.0013029851946819266,10.0,0.05772867500782013,0_4,online,0.9765,0.0,0
85,0.446982209093223,1.6463101712962885e-19,0.0006429772964619494,11.0,0.0871306861636285,1_0,online,0.07466666666666667,0.0,1
86,0.0,0.7471018237220892,0.008120091824450117,7.0,0.26870800257771754,1_1,online,0.977,0.0,1
87,0.8402153810852682,0.0,0.001491963226398702,11.0,0.007591042099028595,1_2,online,0.1015,0.0,1
88,0.16710021799427388,0.999,0.0006703762951023317,11.0,0.26101438565720586,1_3,online,0.9648333333333333,0.0,1
89,0.4945104722364146,0.05212968205260664,0.003591715628081799,7.0,0.08892889028017849,1_4,online,0.9763333333333334,0.0,1
90,0.527322969033337,0.1439447889388038,0.003460692782343232,7.0,0.08489296187253681,2_0,online,0.9778333333333333,0.0,2
91,0.6496547581052537,0.2159331271575385,0.0010116403467547764,11.0,0.053913831083013716,2_1,online,0.975,0.0,2
92,0.39917339468428525,0.06113706433104776,0.012266617557521115,3.0,0.11696010621690367,2_2,online,0.9648333333333333,0.0,2
93,0.1445488439962118,0.8565823190246529,0.0021116632052488355,10.0,0.24802028263701467,2_3,online,0.9768333333333333,0.0,2
94,0.0,0.6845278963770985,0.1,5.0,0.3,2_4,online,0.102,0.0,2
95,0.5152561305223747,0.03211107837186701,0.014880084621721806,6.0,0.09260409462258125,3_0,online,0.10983333333333334,0.0,3
96,0.029664147671244173,0.6935838284624986,0.0027619610985714273,7.0,0.21107678075259528,3_1,online,0.9751666666666666,0.0,3
97,0.3904992078368103,0.5421787694652207,0.014740819580926906,6.0,0.14037494115983334,3_2,online,0.9723333333333334,0.0,3
98,0.5133642204973102,2.323274350341582e-18,0.003678710994562253,2.0,0.07039654709124353,3_3,online,0.11383333333333333,0.0,3
99,0.6366179477530195,0.511915719852199,0.00417529699010489,10.0,0.08021148864472641,3_4,online,0.979,0.0,3
